bucket_size;threads;algorithm;generating;splitting;sorting;writing;overall
59;1;3;0.053903;0.123475;0.122642;0.010773;0.272636
59;1;3;0.064473;0.116763;0.117421;0.010339;0.258952
59;1;3;0.050357;0.125488;0.117112;0.009361;0.265333
60;1;3;0.054927;0.133108;0.110787;0.009176;0.266531
60;1;3;0.061186;0.112341;0.109194;0.009117;0.245895
60;1;3;0.047727;0.111402;0.109577;0.009051;0.245438
61;1;3;0.050689;0.118722;0.109532;0.009185;0.252854
61;1;3;0.061543;0.112492;0.109515;0.009032;0.245684
61;1;3;0.048093;0.110451;0.112320;0.009619;0.245924
62;1;3;0.051195;0.115856;0.110933;0.009013;0.249034
62;1;3;0.061420;0.110550;0.110563;0.009084;0.243707
62;1;3;0.048067;0.109990;0.109833;0.009075;0.241243
63;1;3;0.050159;0.117148;0.111419;0.009051;0.251507
63;1;3;0.062145;0.110068;0.109795;0.009084;0.241924
63;1;3;0.047822;0.110302;0.112300;0.009161;0.244788
64;1;3;0.050347;0.243030;0.111370;0.009138;0.376408
64;1;3;0.061520;0.114987;0.110565;0.009095;0.246982
64;1;3;0.048187;0.110340;0.110545;0.008974;0.242127
65;1;3;0.050988;0.115296;0.117771;0.009017;0.255686
65;1;3;0.061406;0.109387;0.111340;0.009075;0.241956
65;1;3;0.047889;0.109866;0.112472;0.009051;0.243612
66;1;3;0.051276;0.115393;0.112355;0.009264;0.253364
66;1;3;0.062040;0.108984;0.111179;0.009010;0.245662
66;1;3;0.048949;0.110033;0.111226;0.009009;0.246698
67;1;3;0.050716;0.113600;0.112272;0.008975;0.250850
67;1;3;0.061276;0.110231;0.111082;0.008929;0.245612
67;1;3;0.047584;0.109563;0.111400;0.008935;0.245475
68;1;3;0.051765;0.113455;0.112592;0.009302;0.250903
68;1;3;0.061286;0.110397;0.111402;0.009013;0.245428
68;1;3;0.048465;0.109835;0.111436;0.009266;0.245331
69;1;3;0.050401;0.114165;0.112755;0.008963;0.249569
69;1;3;0.061297;0.108763;0.113275;0.008915;0.244900
69;1;3;0.047855;0.115260;0.113249;0.009048;0.247537
70;1;3;0.050679;0.118244;0.112513;0.009627;0.253646
70;1;3;0.064247;0.115872;0.116734;0.009127;0.251077
70;1;3;0.047666;0.106823;0.112059;0.008975;0.239318
71;1;3;0.050141;0.114713;0.113389;0.008908;0.249232
71;1;3;0.061536;0.108209;0.113706;0.008985;0.243057
71;1;3;0.047711;0.111223;0.116059;0.009055;0.245188
72;1;3;0.051013;0.121780;0.113552;0.009000;0.256355
72;1;3;0.061428;0.108338;0.113263;0.008902;0.242489
72;1;3;0.047977;0.109460;0.114827;0.009148;0.244977
73;1;3;0.050583;0.113618;0.114377;0.009633;0.248868
73;1;3;0.061818;0.108820;0.113676;0.009470;0.243772
73;1;3;0.049776;0.113829;0.116007;0.009485;0.252508
74;1;3;0.051404;0.113258;0.114375;0.008868;0.247758
74;1;3;0.063129;0.110589;0.114347;0.008830;0.244188
74;1;3;0.048129;0.110490;0.114704;0.008863;0.244454
75;1;3;0.051036;0.112794;0.115044;0.008846;0.247166
75;1;3;0.062716;0.109867;0.114607;0.008854;0.243757
75;1;3;0.050070;0.109416;0.115393;0.009056;0.244153
76;1;3;0.050532;0.111932;0.114420;0.008848;0.244777
76;1;3;0.062488;0.114800;0.116072;0.008876;0.249715
76;1;3;0.048390;0.107620;0.115231;0.009011;0.241798
77;1;3;0.050905;0.112227;0.115894;0.008900;0.246532
77;1;3;0.062042;0.109622;0.204432;0.008947;0.334391
77;1;3;0.079297;0.107740;0.114879;0.009097;0.242842
78;1;3;0.051317;0.111573;0.115045;0.008833;0.244926
78;1;3;0.061429;0.109272;0.115368;0.008797;0.242720
78;1;3;0.047697;0.106946;0.114950;0.008852;0.240574
79;1;3;0.050165;0.112001;0.115459;0.008861;0.245409
79;1;3;0.061612;0.111962;0.116089;0.008962;0.245699
79;1;3;0.047865;0.109611;0.115805;0.009030;0.243586
80;1;3;0.050386;0.110006;0.116122;0.008899;0.245971
80;1;3;0.061504;0.106288;0.117149;0.008799;0.240893
80;1;3;0.047641;0.106423;0.115694;0.009104;0.239540
81;1;3;0.051051;0.111030;0.115729;0.008855;0.244426
81;1;3;0.061835;0.106131;0.116155;0.009239;0.240137
81;1;3;0.048607;0.106289;0.115706;0.008925;0.239514
82;1;3;0.054147;0.127236;0.119518;0.008912;0.263718
82;1;3;0.063354;0.114425;0.125178;0.009285;0.261046
82;1;3;0.052856;0.116023;0.130062;0.010351;0.267146
83;1;3;0.052240;0.116288;0.132062;0.010138;0.270154
83;1;3;0.063738;0.105866;0.116534;0.009563;0.242354
83;1;3;0.051809;0.119069;0.127991;0.008984;0.266149
84;1;3;0.053852;0.117783;0.119577;0.008804;0.255173
84;1;3;0.062103;0.105127;0.122259;0.009451;0.246095
84;1;3;0.047720;0.101662;0.118092;0.008848;0.236353
85;1;3;0.051259;0.107898;0.117266;0.008781;0.242103
85;1;3;0.061483;0.105988;0.117237;0.008915;0.238686
85;1;3;0.047680;0.101553;0.117438;0.008825;0.236071
86;1;3;0.051594;0.106517;0.118109;0.009294;0.242539
86;1;3;0.062082;0.104075;0.119226;0.008808;0.238479
86;1;3;0.047959;0.107290;0.145352;0.008843;0.269705
87;1;3;0.055347;0.106405;0.117737;0.008783;0.241411
87;1;3;0.061729;0.103007;0.118437;0.008904;0.238628
87;1;3;0.047914;0.133674;0.118860;0.008884;0.273051
88;1;3;0.051143;0.106120;0.119836;0.009034;0.244461
88;1;3;0.061570;0.106416;0.117678;0.008952;0.241947
88;1;3;0.047778;0.104063;0.120001;0.008921;0.242529
89;1;3;0.054375;0.122521;0.130234;0.009393;0.270072
